number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at
INC0000011,Resolved,False,3,0,6,False,Caller70,Operator10,2024-07-11 06:19:00,Operator20,2024-07-11 06:23:00,Analyst14,2024-07-24 20:21:14,Self Service,İstanbul Regional,Inquiry / Help,Password Reset,Data Loss,3 - Low,3 - Low,4 - Low,DevOps Team,Analyst32,False,True,Do Not Notify,,,Vendor13,,Solved (Work Around),Resolver17,2024-07-24 07:39:34,2024-07-24 20:21:14
INC0000012,Resolved,False,1,0,4,False,Caller11,Operator10,2023-06-16 07:28:00,Operator12,2023-06-16 07:32:00,Analyst3,2023-06-19 17:58:29,Self Service,İstanbul Regional,Database,Query,Cannot Access,1 - High,1 - High,1 - Critical,Network Operations,Analyst23,False,True,Send SMS,,,,,Solved (Work Around),Resolver27,2023-06-18 01:54:51,2023-06-19 17:58:29
INC0000013,Closed,False,3,0,8,True,Caller59,Operator8,2023-01-26 13:47:00,Operator1,2023-01-26 13:49:00,Analyst43,2023-01-28 16:20:52,Email,Data Center Alpha,Database,Access,Performance Degradation,2 - Medium,3 - Low,4 - Low,Security Operations,Analyst5,False,False,Send Email,,,,,Solved (Permanently),Resolver8,2023-01-28 05:40:15,2023-01-28 16:20:52
INC0000014,Resolved,False,1,0,13,False,Caller112,Operator1,2023-09-25 13:37:00,Operator17,2023-09-25 13:39:00,Analyst35,2023-10-01 20:39:11,Email,Remote - VPN,Software,Application,Intermittent Failure,2 - Medium,2 - Medium,3 - Moderate,Network Operations,Analyst43,False,False,Send Email,PRB0000461,,,,Not Solved (Too Costly),Resolver21,2023-10-01 02:09:49,2023-10-01 20:39:11
INC0000015,Closed,False,3,0,7,False,Caller111,Operator26,2024-02-18 06:18:00,Operator19,2024-02-18 06:22:00,Analyst39,2024-02-28 14:39:40,Self Service,Data Center Beta,Hardware,Desktop,Configuration Error,2 - Medium,3 - Low,4 - Low,End User Support,Analyst44,True,False,Send Email,,,,,Not Solved (Not Reproducible),Resolver33,2024-02-27 19:10:10,2024-02-28 14:39:40
INC0000016,Resolved,False,1,1,10,True,Caller107,Operator29,2024-11-11 04:39:00,Operator21,2024-11-11 04:41:00,Analyst37,2024-11-16 01:59:24,Email,Data Center Alpha,Software,Operating System,Configuration Error,3 - Low,2 - Medium,4 - Low,Cloud Services,Analyst16,True,True,Send Email,,,,,Solved (Work Around),Resolver12,2024-11-14 02:45:40,2024-11-16 01:59:24
INC0000017,Closed,False,3,0,15,True,Caller130,Operator14,2024-12-14 00:29:00,Operator27,2024-12-14 00:29:00,Analyst36,2024-12-17 22:21:13,IVR,Elazığ Plant,Inquiry / Help,Account Access,Configuration Error,3 - Low,2 - Medium,4 - Low,End User Support,Analyst17,True,False,Send Email,,,,,Solved (Permanently),Resolver19,2024-12-16 00:45:06,2024-12-17 22:21:13
INC0000018,Resolved,False,0,0,1,False,Caller53,Operator27,2023-08-29 16:21:00,Operator14,2023-08-29 16:23:00,Analyst25,2023-09-02 07:11:20,Direct Opening,Bandırma HQ,Inquiry / Help,Password Reset,Login Issue,1 - High,2 - Medium,2 - High,Cloud Services,Analyst31,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver35,2023-09-01 11:16:30,2023-09-02 07:11:20
INC0000019,Resolved,False,4,3,16,False,Caller7,Operator30,2024-09-09 15:31:00,Operator13,2024-09-09 15:32:00,Analyst38,2024-09-16 00:53:38,Direct Opening,Bandırma HQ,Network,DNS,Service Unavailable,2 - Medium,2 - Medium,3 - Moderate,Cloud Services,Analyst9,False,True,Do Not Notify,,,,,Not Solved (Too Costly),Resolver18,2024-09-14 08:32:58,2024-09-16 00:53:38
INC0000020,Resolved,False,2,1,7,False,Caller52,Operator27,2024-03-07 16:53:00,Operator1,2024-03-07 16:53:00,Analyst40,2024-03-15 22:24:04,Email,İstanbul Regional,Database,Performance,Error Message,3 - Low,1 - High,3 - Moderate,End User Support,Analyst43,True,True,Do Not Notify,,,,,Solved (Permanently),Resolver11,2024-03-14 08:54:07,2024-03-15 22:24:04
INC0000021,Resolved,False,3,0,15,True,Caller198,Operator10,2023-11-15 11:37:00,Operator28,2023-11-15 11:37:00,Analyst44,2023-11-22 07:43:35,Direct Opening,İzmir Office,Network,Wireless,Login Issue,3 - Low,3 - Low,4 - Low,Service Desk,Analyst23,False,False,Do Not Notify,,RFC0000108,,,Solved (Permanently),Resolver28,2023-11-21 03:18:21,2023-11-22 07:43:35
INC0000022,Closed,False,3,0,9,False,Caller63,Operator27,2024-01-07 04:57:00,Operator30,2024-01-07 05:00:00,Analyst6,2024-01-12 17:14:23,Self Service,Data Center Beta,Hardware,Monitor,Cannot Access,2 - Medium,2 - Medium,3 - Moderate,End User Support,Analyst37,False,False,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver22,2024-01-11 18:55:33,2024-01-12 17:14:23
INC0000023,Resolved,False,1,0,14,True,Caller5,Operator3,2023-10-15 03:44:00,Operator10,2023-10-15 03:46:00,Analyst15,2023-10-18 06:56:51,IVR,İstanbul Regional,Inquiry / Help,Password Reset,Data Loss,2 - Medium,2 - Medium,3 - Moderate,Data Center Operations,Analyst24,False,False,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver20,2023-10-16 21:47:54,2023-10-18 06:56:51
INC0000024,Resolved,False,0,0,13,False,Caller135,Operator20,2023-09-15 15:07:00,Operator10,2023-09-15 15:12:00,Analyst7,2023-09-20 03:58:39,Email,Ankara Office,Hardware,Printer,Cannot Access,1 - High,2 - Medium,2 - High,Infrastructure,Analyst12,False,True,Send Email,PRB0000024,,,,Solved (Work Around),Resolver32,2023-09-18 16:31:28,2023-09-20 03:58:39
INC0000025,Awaiting Vendor,True,0,0,8,True,Caller162,Operator22,2023-04-16 08:36:00,Operator2,2023-04-16 08:38:00,Analyst10,2023-04-16 10:18:21,Email,Ankara Office,Database,Replication,Service Unavailable,2 - Medium,2 - Medium,3 - Moderate,Application Support,Analyst8,False,True,Send Email,,,,,,,,
INC0000026,Resolved,False,0,0,9,False,Caller20,Operator6,2024-08-25 21:19:00,Operator1,2024-08-25 21:23:00,Analyst27,2024-09-08 16:37:10,IVR,Data Center Beta,Inquiry / Help,Password Reset,Data Loss,2 - Medium,3 - Low,4 - Low,Service Desk,Analyst15,False,False,Send Email,,,,,Closed/Resolved by Caller,Resolver13,2024-09-08 03:54:59,2024-09-08 16:37:10
INC0000027,Closed,False,1,0,8,True,Caller70,Operator17,2024-03-11 11:34:00,Operator18,2024-03-11 11:35:00,Analyst32,2024-03-13 14:11:21,IVR,İzmir Office,Hardware,Printer,Login Issue,3 - Low,1 - High,3 - Moderate,Service Desk,Analyst28,False,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver2,2024-03-12 17:06:35,2024-03-13 14:11:21
INC0000028,Awaiting Vendor,True,1,0,3,True,Caller105,Operator11,2024-11-19 16:36:00,Operator11,2024-11-19 16:36:00,Analyst43,2024-11-20 15:46:20,Phone,Elazığ Plant,Hardware,Monitor,Performance Degradation,2 - Medium,2 - Medium,3 - Moderate,Cloud Services,Analyst45,False,False,Send Email,,,Vendor2,,,,,
INC0000029,Resolved,False,0,1,12,False,Caller114,Operator25,2023-11-19 16:20:00,Operator2,2023-11-19 16:20:00,Analyst14,2023-11-26 03:39:08,Self Service,Elazığ Plant,Database,Query,Data Loss,3 - Low,1 - High,3 - Moderate,End User Support,Analyst45,False,True,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver36,2023-11-25 18:38:54,2023-11-26 03:39:08
INC0000030,Closed,False,0,1,9,False,Caller63,Operator15,2023-01-16 01:26:00,Operator18,2023-01-16 01:26:00,Analyst10,2023-01-22 21:59:41,IVR,İstanbul Regional,Hardware,Laptop,Login Issue,2 - Medium,2 - Medium,3 - Moderate,DevOps Team,Analyst48,True,True,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver18,2023-01-21 21:34:08,2023-01-22 21:59:41
INC0000031,Closed,False,2,0,17,True,Caller83,Operator28,2023-01-03 17:46:00,Operator7,2023-01-03 17:48:00,Analyst45,2023-01-06 15:03:26,Email,Data Center Alpha,Inquiry / Help,Training,Cannot Access,3 - Low,2 - Medium,4 - Low,Cloud Services,Analyst3,False,False,Send Email,,,,,Solved (Work Around),Resolver32,2023-01-05 23:06:01,2023-01-06 15:03:26
INC0000032,Resolved,False,2,0,10,False,Caller68,Operator11,2023-02-07 12:32:00,Operator20,2023-02-07 12:36:00,Analyst45,2023-02-15 18:49:41,IVR,İzmir Office,Network,Connectivity,Performance Degradation,3 - Low,2 - Medium,4 - Low,DevOps Team,Analyst25,False,False,Send Email,PRB0000036,,,,Not Solved (Not Reproducible),Resolver15,2023-02-14 23:08:56,2023-02-15 18:49:41
INC0000033,Resolved,False,0,0,9,True,Caller106,Operator19,2023-04-03 21:06:00,Operator22,2023-04-03 21:11:00,Analyst12,2023-04-04 17:59:12,Email,Elazığ Plant,Software,Office Suite,Service Unavailable,2 - Medium,2 - Medium,3 - Moderate,Data Center Operations,Analyst25,True,False,Send SMS,PRB0000237,,,,Solved (Permanently),Resolver30,2023-04-04 03:54:18,2023-04-04 17:59:12
INC0000034,Awaiting User Info,True,1,0,8,True,Caller28,Operator8,2023-10-23 05:34:00,Operator13,2023-10-23 05:35:00,Analyst37,2023-10-26 21:52:45,Self Service,Ankara Office,Software,Office Suite,Data Loss,3 - Low,3 - Low,4 - Low,Service Desk,Analyst43,False,False,Do Not Notify,,,,,,,,
INC0000035,Resolved,False,4,0,9,True,Caller113,Operator2,2024-09-13 07:31:00,Operator19,2024-09-13 07:33:00,Analyst24,2024-09-17 08:47:47,Email,İzmir Office,Hardware,Peripheral,Data Loss,3 - Low,2 - Medium,4 - Low,Infrastructure,Analyst48,False,True,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver18,2024-09-16 02:38:25,2024-09-17 08:47:47
INC0000036,Resolved,False,2,3,19,True,Caller143,Operator12,2023-06-18 16:58:00,Operator3,2023-06-18 17:01:00,Analyst26,2023-06-21 15:15:10,Phone,Ankara Office,Network,Firewall,Security Alert,3 - Low,2 - Medium,4 - Low,Network Operations,Analyst30,False,False,Do Not Notify,,,Vendor4,,Not Solved (Too Costly),Resolver2,2023-06-19 21:57:57,2023-06-21 15:15:10
INC0000037,Resolved,False,4,0,12,False,Caller30,Operator4,2024-09-27 01:20:00,Operator8,2024-09-27 01:24:00,Analyst35,2024-10-02 06:25:17,Email,Data Center Alpha,Hardware,Laptop,Configuration Error,2 - Medium,2 - Medium,3 - Moderate,Infrastructure,Analyst43,False,True,Send Email,,,,,Not Solved (Not Reproducible),Resolver3,2024-10-01 23:42:43,2024-10-02 06:25:17
INC0000038,Closed,False,0,2,16,False,Caller117,Operator3,2024-12-07 19:13:00,Operator22,2024-12-07 19:16:00,Analyst14,2024-12-12 17:56:45,Direct Opening,Bandırma HQ,Database,Access,System Slow,3 - Low,1 - High,3 - Moderate,Infrastructure,Analyst16,True,True,Do Not Notify,,,,,Solved (Work Around),Resolver22,2024-12-12 15:02:22,2024-12-12 17:56:45
INC0000039,Resolved,False,2,0,8,True,Caller5,Operator6,2023-06-02 03:00:00,Operator9,2023-06-02 03:02:00,Analyst4,2023-06-03 20:12:31,Email,Data Center Alpha,Hardware,Desktop,Security Alert,2 - Medium,3 - Low,4 - Low,Network Operations,Analyst48,True,False,Do Not Notify,,,,,Solved (Work Around),Resolver40,2023-06-03 19:29:43,2023-06-03 20:12:31
INC0000040,Closed,False,0,0,8,True,Caller19,Operator29,2023-02-15 07:50:00,Operator3,2023-02-15 07:55:00,Analyst21,2023-02-17 04:29:18,Direct Opening,Elazığ Plant,Inquiry / Help,How To,Service Unavailable,2 - Medium,3 - Low,4 - Low,Database Admin,Analyst18,False,False,Send SMS,,,,,Solved (Permanently),Resolver8,2023-02-16 08:01:38,2023-02-17 04:29:18
INC0000041,Closed,False,0,0,5,True,Caller96,Operator5,2024-11-02 04:56:00,Operator22,2024-11-02 05:00:00,Analyst31,2024-11-06 02:13:02,Phone,İzmir Office,Hardware,Monitor,Service Unavailable,2 - Medium,2 - Medium,3 - Moderate,Network Operations,Analyst28,True,False,Send Email,,,,,Not Solved (Not Reproducible),Resolver8,2024-11-04 15:11:45,2024-11-06 02:13:02
INC0000042,Resolved,False,1,1,8,True,Caller143,Operator12,2024-02-25 19:55:00,Operator4,2024-02-25 20:00:00,Analyst49,2024-03-02 04:05:24,Self Service,İstanbul Regional,Database,Performance,Intermittent Failure,3 - Low,3 - Low,4 - Low,DevOps Team,Analyst50,True,False,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver1,2024-03-01 20:39:47,2024-03-02 04:05:24
INC0000043,Resolved,False,1,0,6,True,Caller185,Operator11,2023-07-05 12:36:00,Operator25,2023-07-05 12:41:00,Analyst37,2023-07-06 13:44:47,Direct Opening,İzmir Office,Database,Performance,System Slow,1 - High,3 - Low,3 - Moderate,Database Admin,Analyst11,True,True,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver14,2023-07-05 19:41:20,2023-07-06 13:44:47
INC0000044,Resolved,False,1,0,6,False,Caller55,Operator25,2024-06-08 11:22:00,Operator5,2024-06-08 11:25:00,Analyst49,2024-06-16 17:16:53,Self Service,Ankara Office,Software,Email,Performance Degradation,3 - Low,3 - Low,4 - Low,Network Operations,Analyst1,False,False,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver5,2024-06-15 22:18:31,2024-06-16 17:16:53
INC0000045,Closed,False,1,2,6,False,Caller159,Operator15,2024-02-12 07:02:00,Operator27,2024-02-12 07:05:00,Analyst45,2024-02-21 00:04:55,Self Service,İzmir Office,Software,Office Suite,Intermittent Failure,3 - Low,3 - Low,4 - Low,Network Operations,Analyst16,False,False,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver11,2024-02-20 10:11:07,2024-02-21 00:04:55
INC0000046,Active,True,0,0,4,True,Caller40,Operator25,2023-03-21 00:40:00,Operator25,2023-03-21 00:40:00,Analyst42,2023-03-21 22:24:39,Phone,Elazığ Plant,Inquiry / Help,Training,Configuration Error,2 - Medium,3 - Low,4 - Low,End User Support,Analyst49,False,False,Send Email,,,Vendor8,,,,,
INC0000047,Closed,False,0,1,15,False,Caller24,Operator20,2024-10-08 17:50:00,Operator20,2024-10-08 17:52:00,Analyst33,2024-10-12 06:37:13,IVR,Data Center Beta,Inquiry / Help,Password Reset,Login Issue,2 - Medium,1 - High,2 - High,DevOps Team,Analyst48,True,False,Send SMS,,,,,Closed/Resolved by Caller,Resolver10,2024-10-10 14:41:55,2024-10-12 06:37:13
INC0000048,Active,True,0,2,9,False,Caller87,Operator22,2023-03-05 22:06:00,Operator20,2023-03-05 22:08:00,Analyst4,2023-03-07 02:34:44,Self Service,İzmir Office,Software,ERP,Performance Degradation,2 - Medium,1 - High,2 - High,Network Operations,Analyst36,False,False,Do Not Notify,,,,,,,,
INC0000049,Resolved,False,0,1,15,False,Caller33,Operator22,2023-06-03 18:05:00,Operator23,2023-06-03 18:09:00,Analyst48,2023-06-13 16:46:19,Direct Opening,İzmir Office,Hardware,Printer,Intermittent Failure,2 - Medium,3 - Low,4 - Low,DevOps Team,Analyst24,True,False,Do Not Notify,,,,,Solved (Work Around),Resolver15,2023-06-13 01:54:43,2023-06-13 16:46:19
INC0000050,Closed,False,1,0,4,False,Caller42,Operator6,2023-05-21 12:04:00,Operator27,2023-05-21 12:06:00,Analyst45,2023-06-04 15:30:57,Direct Opening,Elazığ Plant,Software,ERP,Configuration Error,3 - Low,3 - Low,4 - Low,Service Desk,Analyst27,False,True,Send SMS,,,,,Solved (Work Around),Resolver35,2023-06-02 21:26:56,2023-06-04 15:30:57
INC0000051,Closed,False,1,0,5,True,Caller155,Operator5,2023-09-02 17:51:00,Operator28,2023-09-02 17:54:00,Analyst17,2023-09-10 00:16:04,Phone,Data Center Beta,Hardware,Printer,Performance Degradation,3 - Low,3 - Low,4 - Low,DevOps Team,Analyst7,True,False,Do Not Notify,PRB0000231,,Vendor7,,Solved (Permanently),Resolver15,2023-09-09 00:07:42,2023-09-10 00:16:04
INC0000052,Resolved,False,4,1,16,True,Caller86,Operator26,2024-04-06 19:59:00,Operator5,2024-04-06 19:59:00,Analyst9,2024-04-09 15:26:23,Phone,Ankara Office,Database,Performance,Configuration Error,2 - Medium,2 - Medium,3 - Moderate,Database Admin,Analyst49,False,False,Send Email,,RFC0000056,,,Closed/Resolved by Caller,Resolver39,2024-04-09 14:05:12,2024-04-09 15:26:23
INC0000053,Resolved,False,4,0,5,False,Caller162,Operator17,2024-06-24 21:07:00,Operator19,2024-06-24 21:09:00,Analyst16,2024-06-27 16:08:17,Email,Ankara Office,Hardware,Printer,Intermittent Failure,1 - High,2 - Medium,2 - High,Service Desk,Analyst40,False,True,Do Not Notify,PRB0000343,RFC0000093,Vendor9,,Closed/Resolved by Caller,Resolver33,2024-06-27 10:49:01,2024-06-27 16:08:17
INC0000054,Resolved,False,2,0,15,True,Caller149,Operator24,2024-06-04 01:01:00,Operator25,2024-06-04 01:04:00,Analyst22,2024-06-08 09:46:44,Email,Bandırma HQ,Database,Performance,Performance Degradation,2 - Medium,3 - Low,4 - Low,DevOps Team,Analyst22,True,False,Send SMS,,,Vendor12,,Not Solved (Too Costly),Resolver3,2024-06-07 17:13:42,2024-06-08 09:46:44
INC0000055,Closed,False,1,0,15,False,Caller200,Operator2,2023-10-28 14:02:00,Operator28,2023-10-28 14:03:00,Analyst42,2023-11-11 12:10:47,Self Service,Ankara Office,Software,Email,Service Unavailable,3 - Low,2 - Medium,4 - Low,Infrastructure,Analyst28,False,False,Send Email,,,,,Not Solved (Too Costly),Resolver24,2023-11-11 10:25:19,2023-11-11 12:10:47
INC0000056,Resolved,False,2,0,12,True,Caller184,Operator14,2024-06-15 16:51:00,Operator6,2024-06-15 16:51:00,Analyst45,2024-06-18 12:36:17,IVR,Remote - VPN,Database,Performance,Configuration Error,2 - Medium,3 - Low,4 - Low,Service Desk,Analyst47,False,False,Do Not Notify,,,Vendor11,,Not Solved (Too Costly),Resolver24,2024-06-18 08:45:41,2024-06-18 12:36:17
INC0000057,Resolved,False,0,0,10,True,Caller9,Operator20,2024-06-10 07:43:00,Operator5,2024-06-10 07:44:00,Analyst44,2024-06-18 02:33:31,IVR,Remote - VPN,Software,Operating System,Performance Degradation,3 - Low,3 - Low,4 - Low,End User Support,Analyst49,True,True,Do Not Notify,,,,,Solved (Permanently),Resolver2,2024-06-16 13:11:24,2024-06-18 02:33:31
INC0000058,Awaiting User Info,True,2,3,9,False,Caller19,Operator15,2023-07-10 23:33:00,Operator6,2023-07-10 23:36:00,Analyst46,2023-07-11 09:45:28,IVR,İzmir Office,Inquiry / Help,Password Reset,Performance Degradation,2 - Medium,2 - Medium,3 - Moderate,Infrastructure,Analyst46,True,False,Send Email,,,,,,,,
INC0000059,Resolved,False,1,0,10,True,Caller34,Operator20,2024-10-15 13:50:00,Operator29,2024-10-15 13:52:00,Analyst6,2024-10-16 21:20:58,Phone,Ankara Office,Inquiry / Help,Account Access,Intermittent Failure,1 - High,2 - Medium,2 - High,End User Support,Analyst34,False,False,Send Email,PRB0000498,,Vendor8,,Closed/Resolved by Caller,Resolver23,2024-10-16 04:01:35,2024-10-16 21:20:58
INC0000060,Resolved,False,0,2,6,True,Caller89,Operator17,2023-05-13 01:40:00,Operator29,2023-05-13 01:44:00,Analyst19,2023-05-14 14:39:42,Phone,Ankara Office,Hardware,Desktop,Cannot Access,2 - Medium,3 - Low,4 - Low,DevOps Team,Analyst18,True,False,Send Email,PRB0000329,,,,Solved (Work Around),Resolver11,2023-05-14 00:03:49,2023-05-14 14:39:42
INC0000061,Awaiting User Info,True,2,1,10,True,Caller8,Operator16,2024-11-06 03:46:00,Operator29,2024-11-06 03:50:00,Analyst41,2024-11-06 13:43:07,Direct Opening,Ankara Office,Network,Wireless,Data Loss,1 - High,3 - Low,3 - Moderate,End User Support,Analyst16,False,False,Do Not Notify,,,,,,,,
INC0000062,Closed,False,0,0,6,False,Caller62,Operator15,2024-04-20 14:21:00,Operator4,2024-04-20 14:25:00,Analyst18,2024-05-04 16:39:01,IVR,İstanbul Regional,Hardware,Printer,Error Message,3 - Low,2 - Medium,4 - Low,Network Operations,Analyst4,False,False,Send Email,,,,,Not Solved (Not Reproducible),Resolver37,2024-05-04 10:22:25,2024-05-04 16:39:01
INC0000063,Closed,False,4,0,10,False,Caller13,Operator2,2023-11-17 14:48:00,Operator10,2023-11-17 14:49:00,Analyst32,2023-11-25 16:11:17,Direct Opening,Data Center Beta,Database,Query,Data Loss,2 - Medium,3 - Low,4 - Low,DevOps Team,Analyst1,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver26,2023-11-24 15:55:36,2023-11-25 16:11:17
INC0000064,Resolved,False,0,0,6,False,Caller143,Operator12,2023-02-23 02:35:00,Operator25,2023-02-23 02:36:00,Analyst10,2023-02-26 13:31:04,Email,Data Center Alpha,Network,Wireless,Security Alert,2 - Medium,2 - Medium,3 - Moderate,Service Desk,Analyst3,True,True,Send Email,,,Vendor15,,Closed/Resolved by Caller,Resolver9,2023-02-26 07:20:31,2023-02-26 13:31:04
INC0000065,Closed,False,0,1,7,True,Caller85,Operator22,2023-12-03 03:20:00,Operator4,2023-12-03 03:21:00,Analyst27,2023-12-09 09:01:43,Direct Opening,Ankara Office,Database,Query,System Slow,3 - Low,2 - Medium,4 - Low,Data Center Operations,Analyst31,False,True,Send Email,,,,,Closed/Resolved by Caller,Resolver25,2023-12-07 23:00:33,2023-12-09 09:01:43
INC0000066,Resolved,False,2,2,18,True,Caller189,Operator24,2023-06-02 05:15:00,Operator2,2023-06-02 05:15:00,Analyst46,2023-06-06 00:27:56,Email,İstanbul Regional,Inquiry / Help,Password Reset,Security Alert,2 - Medium,2 - Medium,3 - Moderate,Infrastructure,Analyst43,False,False,Do Not Notify,PRB0000468,,,,Not Solved (Not Reproducible),Resolver40,2023-06-05 04:46:03,2023-06-06 00:27:56
INC0000067,Resolved,False,1,0,10,True,Caller185,Operator9,2024-05-10 14:15:00,Operator10,2024-05-10 14:17:00,Analyst8,2024-05-16 06:11:22,Direct Opening,Data Center Alpha,Inquiry / Help,How To,Intermittent Failure,2 - Medium,3 - Low,4 - Low,Infrastructure,Analyst50,True,False,Do Not Notify,,RFC0000114,,,Not Solved (Too Costly),Resolver14,2024-05-14 21:03:28,2024-05-16 06:11:22
INC0000068,Resolved,False,0,0,12,True,Caller121,Operator4,2023-07-27 01:17:00,Operator22,2023-07-27 01:21:00,Analyst50,2023-07-30 01:37:31,Email,Bandırma HQ,Network,VPN,Security Alert,1 - High,3 - Low,3 - Moderate,Database Admin,Analyst27,False,False,Send Email,,,,,Solved (Permanently),Resolver6,2023-07-28 19:00:14,2023-07-30 01:37:31
